created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,adressess,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
9/2/15,196205,206082,POINT (-73.97682017943663 40.612880643288754),22,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"2348 63 STREET,Brooklyn,Brooklyn,11204",2348 63 STREET,11204,Brooklyn,311,3,Brooklyn,44,48,17,BK29,Bensonhurst East,3043600,New York,40.6128806,-73.97682,990685.719,162566.183
8/31/15,192086,203718,POINT (-74.03492842818125 40.62140476357093),28,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,"8923 RIDGE BOULEVARD,Brooklyn,Brooklyn,11209",8923 RIDGE BOULEVARD,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005201,New York,40.6214048,-74.034928,974553.599,165672.826
9/4/15,203550,348013,POINT (-73.85444599003124 40.71316968515154),42,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,"90-008 69 AVENUE,Forest Hills,Queens,11375",90-008 69 AVENUE,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4072900,New York,40.7131697,-73.854446,1024601.35,199136.976
9/5/15,203718,302371,POINT (-73.9110256109311 40.78254676160222),12,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"20-015 24 STREET,Astoria,Queens,11105",20-015 24 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.7825468,-73.911026,1008890.34,224392.263
9/8/15,208832,220174,POINT (-73.9614226506213 40.69227839545721),3,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,"RootOther,BranchOther",No,No,Yes,No,No,No,No,No,Yes,"237 WILLOUGHBY AVENUE,Brooklyn,Brooklyn,11205",237 WILLOUGHBY AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019300,New York,40.6922784,-73.961423,994947.998,191494.486
8/31/15,193183,348404,POINT (-73.83829721619878 40.7170323149707),3,0,OnCurb,Alive,Good,Acer ginnala,Amur maple,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"75-009 AUSTIN STREET,Forest Hills,Queens,11375",75-009 AUSTIN STREET,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4076901,New York,40.7170323,-73.838297,1029075.6,200552.098
9/4/15,203577,348022,POINT (-73.85501987714406 40.7124796096016),26,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Unsure,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,"89-003 69 AVENUE,Forest Hills,Queens,11375",89-003 69 AVENUE,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4070700,New York,40.7124796,-73.85502,1024442.67,198885.297
8/27/15,179477,223106,POINT (-73.98073049257751 40.66823129823416),3,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"290 7 AVENUE,Brooklyn,Brooklyn,11215",290 7 AVENUE,11215,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015300,New York,40.6682313,-73.98073,989595.611,182731.667
9/4/15,203386,347979,POINT (-73.85213797272486 40.71264110335946),26,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,None,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,"92-018 70 AVENUE,Forest Hills,Queens,11375",92-018 70 AVENUE,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4072900,New York,40.7126411,-73.852138,1025241.51,198945.469
8/30/15,189537,223141,POINT (-73.97325312578212 40.66903950319261),18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"53 PROSPECT PARK WEST,Brooklyn,Brooklyn,11215",53 PROSPECT PARK WEST,11215,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3016500,New York,40.6690395,-73.973253,991669.84,183026.664
